scenario,scenario_key,name,budget,source_set,rate,seed,n_expected_steps,step_recall,chain_recall,reconstructability,n_events_pre_sampling,n_events
SC1,sc1,Stegano,single,azure_conn,1.0,0,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,0,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,0,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,0,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,0,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,1,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,1,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,1,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,1,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,1,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,2,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,2,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,2,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,2,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,2,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,3,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,3,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,3,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,3,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,3,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,4,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,4,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,4,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,4,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,4,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,0.75,0,4,0.0,0.0,0.0,5746,4306
SC1,sc1,Stegano,single,azure_process,0.75,0,4,0.25,0.25,0.25,345,257
SC1,sc1,Stegano,single,azure_security,0.75,0,4,0.0,0.0,0.0,334,245
SC1,sc1,Stegano,single,azure_events,0.75,0,4,0.0,0.0,0.0,1000,747
SC1,sc1,Stegano,single,azure_port,0.75,0,4,0.0,0.0,0.0,1109,831
SC1,sc1,Stegano,single,azure_conn,0.75,1,4,0.0,0.0,0.0,5746,4299
SC1,sc1,Stegano,single,azure_process,0.75,1,4,0.25,0.25,0.25,345,258
SC1,sc1,Stegano,single,azure_security,0.75,1,4,0.0,0.0,0.0,334,249
SC1,sc1,Stegano,single,azure_events,0.75,1,4,0.0,0.0,0.0,1000,754
SC1,sc1,Stegano,single,azure_port,0.75,1,4,0.0,0.0,0.0,1109,826
SC1,sc1,Stegano,single,azure_conn,0.75,2,4,0.0,0.0,0.0,5746,4288
SC1,sc1,Stegano,single,azure_process,0.75,2,4,0.25,0.25,0.25,345,256
SC1,sc1,Stegano,single,azure_security,0.75,2,4,0.0,0.0,0.0,334,261
SC1,sc1,Stegano,single,azure_events,0.75,2,4,0.0,0.0,0.0,1000,766
SC1,sc1,Stegano,single,azure_port,0.75,2,4,0.0,0.0,0.0,1109,833
SC1,sc1,Stegano,single,azure_conn,0.75,3,4,0.0,0.0,0.0,5746,4278
SC1,sc1,Stegano,single,azure_process,0.75,3,4,0.25,0.25,0.25,345,258
SC1,sc1,Stegano,single,azure_security,0.75,3,4,0.0,0.0,0.0,334,254
SC1,sc1,Stegano,single,azure_events,0.75,3,4,0.0,0.0,0.0,1000,731
SC1,sc1,Stegano,single,azure_port,0.75,3,4,0.0,0.0,0.0,1109,835
SC1,sc1,Stegano,single,azure_conn,0.75,4,4,0.0,0.0,0.0,5746,4330
SC1,sc1,Stegano,single,azure_process,0.75,4,4,0.25,0.25,0.25,345,263
SC1,sc1,Stegano,single,azure_security,0.75,4,4,0.0,0.0,0.0,334,246
SC1,sc1,Stegano,single,azure_events,0.75,4,4,0.0,0.0,0.0,1000,755
SC1,sc1,Stegano,single,azure_port,0.75,4,4,0.0,0.0,0.0,1109,831
SC1,sc1,Stegano,single,azure_conn,0.5,0,4,0.0,0.0,0.0,5746,2866
SC1,sc1,Stegano,single,azure_process,0.5,0,4,0.25,0.25,0.25,345,169
SC1,sc1,Stegano,single,azure_security,0.5,0,4,0.0,0.0,0.0,334,158
SC1,sc1,Stegano,single,azure_events,0.5,0,4,0.0,0.0,0.0,1000,505
SC1,sc1,Stegano,single,azure_port,0.5,0,4,0.0,0.0,0.0,1109,527
SC1,sc1,Stegano,single,azure_conn,0.5,1,4,0.0,0.0,0.0,5746,2898
SC1,sc1,Stegano,single,azure_process,0.5,1,4,0.25,0.25,0.25,345,177
SC1,sc1,Stegano,single,azure_security,0.5,1,4,0.0,0.0,0.0,334,159
SC1,sc1,Stegano,single,azure_events,0.5,1,4,0.0,0.0,0.0,1000,499
SC1,sc1,Stegano,single,azure_port,0.5,1,4,0.0,0.0,0.0,1109,549
SC1,sc1,Stegano,single,azure_conn,0.5,2,4,0.0,0.0,0.0,5746,2910
SC1,sc1,Stegano,single,azure_process,0.5,2,4,0.25,0.25,0.25,345,157
SC1,sc1,Stegano,single,azure_security,0.5,2,4,0.0,0.0,0.0,334,167
SC1,sc1,Stegano,single,azure_events,0.5,2,4,0.0,0.0,0.0,1000,531
SC1,sc1,Stegano,single,azure_port,0.5,2,4,0.0,0.0,0.0,1109,552
SC1,sc1,Stegano,single,azure_conn,0.5,3,4,0.0,0.0,0.0,5746,2831
SC1,sc1,Stegano,single,azure_process,0.5,3,4,0.25,0.25,0.25,345,158
SC1,sc1,Stegano,single,azure_security,0.5,3,4,0.0,0.0,0.0,334,161
SC1,sc1,Stegano,single,azure_events,0.5,3,4,0.0,0.0,0.0,1000,485
SC1,sc1,Stegano,single,azure_port,0.5,3,4,0.0,0.0,0.0,1109,517
SC1,sc1,Stegano,single,azure_conn,0.5,4,4,0.0,0.0,0.0,5746,2893
SC1,sc1,Stegano,single,azure_process,0.5,4,4,0.25,0.25,0.25,345,173
SC1,sc1,Stegano,single,azure_security,0.5,4,4,0.0,0.0,0.0,334,166
SC1,sc1,Stegano,single,azure_events,0.5,4,4,0.0,0.0,0.0,1000,529
SC1,sc1,Stegano,single,azure_port,0.5,4,4,0.0,0.0,0.0,1109,537
SC1,sc1,Stegano,single,azure_conn,0.25,0,4,0.0,0.0,0.0,5746,1493
SC1,sc1,Stegano,single,azure_process,0.25,0,4,0.25,0.25,0.25,345,86
SC1,sc1,Stegano,single,azure_security,0.25,0,4,0.0,0.0,0.0,334,73
SC1,sc1,Stegano,single,azure_events,0.25,0,4,0.0,0.0,0.0,1000,254
SC1,sc1,Stegano,single,azure_port,0.25,0,4,0.0,0.0,0.0,1109,238
SC1,sc1,Stegano,single,azure_conn,0.25,1,4,0.0,0.0,0.0,5746,1386
SC1,sc1,Stegano,single,azure_process,0.25,1,4,0.25,0.25,0.25,345,86
SC1,sc1,Stegano,single,azure_security,0.25,1,4,0.0,0.0,0.0,334,75
SC1,sc1,Stegano,single,azure_events,0.25,1,4,0.0,0.0,0.0,1000,256
SC1,sc1,Stegano,single,azure_port,0.25,1,4,0.0,0.0,0.0,1109,284
SC1,sc1,Stegano,single,azure_conn,0.25,2,4,0.0,0.0,0.0,5746,1495
SC1,sc1,Stegano,single,azure_process,0.25,2,4,0.25,0.25,0.25,345,77
SC1,sc1,Stegano,single,azure_security,0.25,2,4,0.0,0.0,0.0,334,79
SC1,sc1,Stegano,single,azure_events,0.25,2,4,0.0,0.0,0.0,1000,272
SC1,sc1,Stegano,single,azure_port,0.25,2,4,0.0,0.0,0.0,1109,296
SC1,sc1,Stegano,single,azure_conn,0.25,3,4,0.0,0.0,0.0,5746,1445
SC1,sc1,Stegano,single,azure_process,0.25,3,4,0.25,0.25,0.25,345,83
SC1,sc1,Stegano,single,azure_security,0.25,3,4,0.0,0.0,0.0,334,88
SC1,sc1,Stegano,single,azure_events,0.25,3,4,0.0,0.0,0.0,1000,251
SC1,sc1,Stegano,single,azure_port,0.25,3,4,0.0,0.0,0.0,1109,249
SC1,sc1,Stegano,single,azure_conn,0.25,4,4,0.0,0.0,0.0,5746,1471
SC1,sc1,Stegano,single,azure_process,0.25,4,4,0.25,0.25,0.25,345,79
SC1,sc1,Stegano,single,azure_security,0.25,4,4,0.0,0.0,0.0,334,79
SC1,sc1,Stegano,single,azure_events,0.25,4,4,0.0,0.0,0.0,1000,264
SC1,sc1,Stegano,single,azure_port,0.25,4,4,0.0,0.0,0.0,1109,258
SC1,sc1,Stegano,single,azure_conn,0.1,0,4,0.0,0.0,0.0,5746,584
SC1,sc1,Stegano,single,azure_process,0.1,0,4,0.0,0.0,0.0,345,31
SC1,sc1,Stegano,single,azure_security,0.1,0,4,0.0,0.0,0.0,334,35
SC1,sc1,Stegano,single,azure_events,0.1,0,4,0.0,0.0,0.0,1000,110
SC1,sc1,Stegano,single,azure_port,0.1,0,4,0.0,0.0,0.0,1109,88
SC1,sc1,Stegano,single,azure_conn,0.1,1,4,0.0,0.0,0.0,5746,560
SC1,sc1,Stegano,single,azure_process,0.1,1,4,0.25,0.25,0.25,345,35
SC1,sc1,Stegano,single,azure_security,0.1,1,4,0.0,0.0,0.0,334,29
SC1,sc1,Stegano,single,azure_events,0.1,1,4,0.0,0.0,0.0,1000,94
SC1,sc1,Stegano,single,azure_port,0.1,1,4,0.0,0.0,0.0,1109,118
SC1,sc1,Stegano,single,azure_conn,0.1,2,4,0.0,0.0,0.0,5746,606
SC1,sc1,Stegano,single,azure_process,0.1,2,4,0.0,0.0,0.0,345,36
SC1,sc1,Stegano,single,azure_security,0.1,2,4,0.0,0.0,0.0,334,33
SC1,sc1,Stegano,single,azure_events,0.1,2,4,0.0,0.0,0.0,1000,116
SC1,sc1,Stegano,single,azure_port,0.1,2,4,0.0,0.0,0.0,1109,117
SC1,sc1,Stegano,single,azure_conn,0.1,3,4,0.0,0.0,0.0,5746,570
SC1,sc1,Stegano,single,azure_process,0.1,3,4,0.25,0.25,0.25,345,32
SC1,sc1,Stegano,single,azure_security,0.1,3,4,0.0,0.0,0.0,334,35
SC1,sc1,Stegano,single,azure_events,0.1,3,4,0.0,0.0,0.0,1000,97
SC1,sc1,Stegano,single,azure_port,0.1,3,4,0.0,0.0,0.0,1109,107
SC1,sc1,Stegano,single,azure_conn,0.1,4,4,0.0,0.0,0.0,5746,618
SC1,sc1,Stegano,single,azure_process,0.1,4,4,0.0,0.0,0.0,345,34
SC1,sc1,Stegano,single,azure_security,0.1,4,4,0.0,0.0,0.0,334,34
SC1,sc1,Stegano,single,azure_events,0.1,4,4,0.0,0.0,0.0,1000,97
SC1,sc1,Stegano,single,azure_port,0.1,4,4,0.0,0.0,0.0,1109,99
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,1.0,0,4,0.25,0.25,0.25,8534,8534
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,1.0,1,4,0.25,0.25,0.25,8534,8534
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,1.0,2,4,0.25,0.25,0.25,8534,8534
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,1.0,3,4,0.25,0.25,0.25,8534,8534
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,1.0,4,4,0.25,0.25,0.25,8534,8534
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.75,0,4,0.25,0.25,0.25,8534,6386
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.75,1,4,0.25,0.25,0.25,8534,6386
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.75,2,4,0.25,0.25,0.25,8534,6404
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.75,3,4,0.25,0.25,0.25,8534,6356
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.75,4,4,0.25,0.25,0.25,8534,6425
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.5,0,4,0.25,0.25,0.25,8534,4225
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.5,1,4,0.25,0.25,0.25,8534,4282
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.5,2,4,0.25,0.25,0.25,8534,4317
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.5,3,4,0.25,0.25,0.25,8534,4152
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.5,4,4,0.25,0.25,0.25,8534,4298
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.25,0,4,0.25,0.25,0.25,8534,2144
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.25,1,4,0.25,0.25,0.25,8534,2087
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.25,2,4,0.25,0.25,0.25,8534,2219
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.25,3,4,0.25,0.25,0.25,8534,2116
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.25,4,4,0.25,0.25,0.25,8534,2151
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.1,0,4,0.0,0.0,0.0,8534,848
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.1,1,4,0.25,0.25,0.25,8534,836
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.1,2,4,0.0,0.0,0.0,8534,908
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.1,3,4,0.25,0.25,0.25,8534,841
SC1,sc1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0.1,4,4,0.0,0.0,0.0,8534,882
SC2,sc2,Starter,single,azure_events,1.0,0,4,0.5,0.5,0.5,44246,44246
SC2,sc2,Starter,single,syslog,1.0,0,4,0.5,0.5,0.5,9732,9732
SC2,sc2,Starter,single,azure_events,1.0,1,4,0.5,0.5,0.5,44246,44246
SC2,sc2,Starter,single,syslog,1.0,1,4,0.5,0.5,0.5,9732,9732
SC2,sc2,Starter,single,azure_events,1.0,2,4,0.5,0.5,0.5,44246,44246
SC2,sc2,Starter,single,syslog,1.0,2,4,0.5,0.5,0.5,9732,9732
SC2,sc2,Starter,single,azure_events,1.0,3,4,0.5,0.5,0.5,44246,44246
SC2,sc2,Starter,single,syslog,1.0,3,4,0.5,0.5,0.5,9732,9732
SC2,sc2,Starter,single,azure_events,1.0,4,4,0.5,0.5,0.5,44246,44246
SC2,sc2,Starter,single,syslog,1.0,4,4,0.5,0.5,0.5,9732,9732
SC2,sc2,Starter,single,azure_events,0.75,0,4,0.5,0.5,0.5,44246,33050
SC2,sc2,Starter,single,syslog,0.75,0,4,0.5,0.5,0.5,9732,7288
SC2,sc2,Starter,single,azure_events,0.75,1,4,0.5,0.5,0.5,44246,33089
SC2,sc2,Starter,single,syslog,0.75,1,4,0.5,0.5,0.5,9732,7294
SC2,sc2,Starter,single,azure_events,0.75,2,4,0.5,0.5,0.5,44246,33158
SC2,sc2,Starter,single,syslog,0.75,2,4,0.5,0.5,0.5,9732,7332
SC2,sc2,Starter,single,azure_events,0.75,3,4,0.5,0.5,0.5,44246,33140
SC2,sc2,Starter,single,syslog,0.75,3,4,0.5,0.5,0.5,9732,7309
SC2,sc2,Starter,single,azure_events,0.75,4,4,0.5,0.5,0.5,44246,33132
SC2,sc2,Starter,single,syslog,0.75,4,4,0.5,0.5,0.5,9732,7193
SC2,sc2,Starter,single,azure_events,0.5,0,4,0.5,0.5,0.5,44246,21923
SC2,sc2,Starter,single,syslog,0.5,0,4,0.5,0.5,0.5,9732,4831
SC2,sc2,Starter,single,azure_events,0.5,1,4,0.5,0.5,0.5,44246,22100
SC2,sc2,Starter,single,syslog,0.5,1,4,0.5,0.5,0.5,9732,4835
SC2,sc2,Starter,single,azure_events,0.5,2,4,0.5,0.5,0.5,44246,22126
SC2,sc2,Starter,single,syslog,0.5,2,4,0.5,0.5,0.5,9732,4891
SC2,sc2,Starter,single,azure_events,0.5,3,4,0.5,0.5,0.5,44246,22186
SC2,sc2,Starter,single,syslog,0.5,3,4,0.5,0.25,0.5,9732,4883
SC2,sc2,Starter,single,azure_events,0.5,4,4,0.5,0.5,0.5,44246,22117
SC2,sc2,Starter,single,syslog,0.5,4,4,0.5,0.5,0.5,9732,4798
SC2,sc2,Starter,single,azure_events,0.25,0,4,0.5,0.5,0.5,44246,11071
SC2,sc2,Starter,single,syslog,0.25,0,4,0.5,0.5,0.5,9732,2409
SC2,sc2,Starter,single,azure_events,0.25,1,4,0.25,0.25,0.25,44246,11039
SC2,sc2,Starter,single,syslog,0.25,1,4,0.25,0.25,0.25,9732,2443
SC2,sc2,Starter,single,azure_events,0.25,2,4,0.5,0.5,0.5,44246,10915
SC2,sc2,Starter,single,syslog,0.25,2,4,0.5,0.5,0.5,9732,2478
SC2,sc2,Starter,single,azure_events,0.25,3,4,0.5,0.5,0.5,44246,11194
SC2,sc2,Starter,single,syslog,0.25,3,4,0.25,0.25,0.25,9732,2493
SC2,sc2,Starter,single,azure_events,0.25,4,4,0.25,0.25,0.25,44246,11125
SC2,sc2,Starter,single,syslog,0.25,4,4,0.5,0.5,0.5,9732,2333
SC2,sc2,Starter,single,azure_events,0.1,0,4,0.5,0.5,0.5,44246,4460
SC2,sc2,Starter,single,syslog,0.1,0,4,0.25,0.25,0.25,9732,986
SC2,sc2,Starter,single,azure_events,0.1,1,4,0.25,0.25,0.25,44246,4440
SC2,sc2,Starter,single,syslog,0.1,1,4,0.0,0.0,0.0,9732,1073
SC2,sc2,Starter,single,azure_events,0.1,2,4,0.5,0.5,0.5,44246,4327
SC2,sc2,Starter,single,syslog,0.1,2,4,0.0,0.0,0.0,9732,1021
SC2,sc2,Starter,single,azure_events,0.1,3,4,0.25,0.25,0.25,44246,4502
SC2,sc2,Starter,single,syslog,0.1,3,4,0.0,0.0,0.0,9732,996
SC2,sc2,Starter,single,azure_events,0.1,4,4,0.25,0.25,0.25,44246,4458
SC2,sc2,Starter,single,syslog,0.1,4,4,0.5,0.5,0.5,9732,959
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,0,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,1,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,2,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,3,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,1.0,4,4,0.75,0.75,0.75,53978,53978
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,0,4,0.75,0.75,0.75,53978,40338
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,1,4,0.75,0.75,0.75,53978,40383
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,2,4,0.75,0.75,0.75,53978,40490
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,3,4,0.75,0.75,0.75,53978,40449
SC2,sc2,Starter,combo2,syslog+azure_events,0.75,4,4,0.75,0.75,0.75,53978,40325
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,0,4,0.75,0.75,0.75,53978,26754
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,1,4,0.75,0.75,0.75,53978,26935
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,2,4,0.75,0.75,0.75,53978,27017
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,3,4,0.75,0.75,0.75,53978,27069
SC2,sc2,Starter,combo2,syslog+azure_events,0.5,4,4,0.75,0.75,0.75,53978,26915
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,0,4,0.75,0.75,0.75,53978,13480
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,1,4,0.25,0.25,0.25,53978,13482
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,2,4,0.75,0.75,0.75,53978,13393
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,3,4,0.75,0.75,0.75,53978,13687
SC2,sc2,Starter,combo2,syslog+azure_events,0.25,4,4,0.5,0.5,0.5,53978,13458
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,0,4,0.5,0.5,0.5,53978,5446
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,1,4,0.25,0.25,0.25,53978,5513
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,2,4,0.5,0.5,0.5,53978,5348
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,3,4,0.25,0.25,0.25,53978,5498
SC2,sc2,Starter,combo2,syslog+azure_events,0.1,4,4,0.5,0.5,0.5,53978,5417
