scenario,name,run_mode,mode,source_set,n_events,expected_steps,expected_steps_set,n_expected_steps,expected_order,observed_steps,n_tagged_steps,chain_steps,n_chain_steps,reconstructability,reconstructability_mode,proxy_reconstructability,step_recall,step_precision,chain_recall,chain_precision,tagger_total_hits,tagger_missing_fields_events,tagger_missing_prefilter_events,tagger_used_prefilter_conditions,tagger_unusable_rules,observed_techniques,aligned_techniques,missing_expected_techniques,unexpected_observed_techniques,failure_keys
SC1,Stegano,single,single,azure_process,345,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,4,0,345,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC1,Stegano,single,single,azure_conn,5746,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,5746,5746,1,['HEUR_AZURE_CONN_SKIPPED'],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE', 'SCHEMA_MISMATCH_FIELDS', 'UNUSABLE_RULES_PRESENT']"
SC1,Stegano,single,single,azure_security,334,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,334,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE']"
SC1,Stegano,single,single,azure_port,1109,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,1109,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE']"
SC1,Stegano,multi,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,8534,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,4,5746,8534,1,['HEUR_AZURE_CONN_PARTIAL'],[],[],"['T1001', 'T1001.002', 'T1003', 'T1003.006', 'T1005', 'T1007', 'T1010', 'T1012', 'T1020', 'T1021', 'T1025', 'T1027', 'T1027.003', 'T1027.009', 'T1029', 'T1030', 'T1033', 'T1036', 'T1036.009', 'T1037', 'T1039', 'T1041', 'T1046', 'T1053', 'T1055', 'T1056', 'T1056.001', 'T1056.002', 'T1057', 'T1059', 'T1059.002', 'T1059.004', 'T1059.006', 'T1069', 'T1069.001', 'T1069.002', 'T1070.004', 'T1078', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1087.002', 'T1090', 'T1098', 'T1105', 'T1106', 'T1110', 'T1110.001', 'T1110.003', 'T1112', 'T1113', 'T1115', 'T1127', 'T1129', 'T1132', 'T1132.001', 'T1134', 'T1135', 'T1136', 'T1136.001', 'T1195.002', 'T1204.002', 'T1207', 'T1213', 'T1217', 'T1218', 'T1221', 'T1485', 'T1518', 'T1528', 'T1539', 'T1543.001', 'T1543.004', 'T1546', 'T1546.014', 'T1547', 'T1547.015', 'T1548.003', 'T1548.004', 'T1550', 'T1552', 'T1552.001', 'T1552.003', 'T1553', 'T1553.001', 'T1553.005', 'T1555', 'T1558', 'T1559', 'T1562', 'T1564.002', 'T1564.003', 'T1564.004', 'T1565', 'T1570', 'T1572', 'T1574', 'T1588', 'T1590', 'T1590.005', 'T1608', 'T1620', 'T1647']",[],[]
SC2,Starter,single,single,syslog,9732,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['EXFIL', 'INSTALL']",2,"['INSTALL', 'EXFIL']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,11,0,9732,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC2,Starter,multi,multi,azure_events+syslog,53978,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL']",3,"['INSTALL', 'DOWNLOAD', 'EXFIL']",3,0.75,expected_recall,,0.75,1.0,0.75,1.0,5190,0,53978,1,[],"['T1021.001', 'T1021.004', 'T1033', 'T1053.003', 'T1059.004', 'T1110', 'T1548.003']","['T1033', 'T1059.004', 'T1110', 'T1548.003']","['T1003', 'T1003.006', 'T1005', 'T1007', 'T1010', 'T1012', 'T1020', 'T1021', 'T1025', 'T1027', 'T1027.010', 'T1029', 'T1030', 'T1036', 'T1036.009', 'T1037', 'T1039', 'T1041', 'T1046', 'T1053', 'T1055', 'T1056', 'T1056.001', 'T1056.002', 'T1057', 'T1059', 'T1059.002', 'T1059.003', 'T1059.005', 'T1059.006', 'T1060', 'T1069', 'T1069.001', 'T1069.002', 'T1070.004', 'T1078', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1087.002', 'T1090', 'T1098', 'T1105', 'T1106', 'T1110.001', 'T1110.003', 'T1112', 'T1113', 'T1115', 'T1127', 'T1129', 'T1132', 'T1134', 'T1135', 'T1136', 'T1136.001', 'T1140', 'T1195.002', 'T1204.002', 'T1207', 'T1213', 'T1217', 'T1218', 'T1218.005', 'T1485', 'T1518', 'T1528', 'T1539', 'T1543.001', 'T1543.004', 'T1546', 'T1546.014', 'T1547', 'T1547.015', 'T1548.004', 'T1550', 'T1552', 'T1552.001', 'T1552.003', 'T1553', 'T1553.001', 'T1555', 'T1558', 'T1559', 'T1562', 'T1564.002', 'T1564.003', 'T1565', 'T1570', 'T1572', 'T1574', 'T1588', 'T1590', 'T1590.005', 'T1608', 'T1620', 'T1647', 'T1659']","['T1021.001', 'T1021.004', 'T1053.003']",[]
SC2,Starter,combo2,multi,syslog+azure_events,53978,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL']",3,"['INSTALL', 'DOWNLOAD', 'EXFIL']",3,0.75,expected_recall,,0.75,1.0,0.75,1.0,101,0,53978,1,[],,,,,"['MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,single,single,auth,2810,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,3,0,2810,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,single,single,suricata,65385,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,41667,0,65385,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,single,single,syslog,14677,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,4,0,14677,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,single,single,zeek,5596,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,1517,0,5596,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,single,single,auditd,206,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,206,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,zeek+syslog,20273,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['INSTALL', 'OUTBOUND_CONN']",2,"['INSTALL', 'OUTBOUND_CONN']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,1521,0,20273,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,zeek+auth,8406,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['INSTALL', 'OUTBOUND_CONN']",2,"['INSTALL', 'OUTBOUND_CONN']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,1520,0,8406,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,auditd+zeek,5802,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,1517,0,5802,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,syslog+auth,17487,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,7,0,17487,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,combo2,combo2,auditd+syslog,14883,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,4,0,14883,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC3,Parallel,multi,multi,auditd+auth+suricata+syslog+zeek,88674,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['INSTALL', 'OUTBOUND_CONN']",2,"['INSTALL', 'OUTBOUND_CONN']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,47404,0,88674,2,[],"['T1021.001', 'T1021.004', 'T1033', 'T1053.003', 'T1059.004', 'T1059.006', 'T1105', 'T1110', 'T1543.002', 'T1548.003']","['T1033', 'T1105']","['T1005', 'T1020', 'T1039', 'T1048', 'T1048.003', 'T1059.007', 'T1071.001', 'T1071.002', 'T1074', 'T1074.001', 'T1074.002', 'T1078', 'T1082', 'T1083', 'T1083.001', 'T1083.002', 'T1106', 'T1119', 'T1195', 'T1195.002', 'T1204.002', 'T1498', 'T1567', 'T1567.002', 'T1588', 'T1608', 'T1614']","['T1021.001', 'T1021.004', 'T1053.003', 'T1059.004', 'T1059.006', 'T1110', 'T1543.002', 'T1548.003']",[]
SC4,NPMEX,single,single,syslog,57250,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'INSTALL']",2,"['INSTALL', 'DOWNLOAD']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,18,0,57250,1,[],,,,,"['MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
