scenario,name,run_mode,mode,source_set,n_events,expected_steps,expected_steps_set,n_expected_steps,expected_order,observed_steps,n_tagged_steps,chain_steps,n_chain_steps,reconstructability,reconstructability_mode,proxy_reconstructability,step_recall,step_precision,chain_recall,chain_precision,tagger_total_hits,tagger_missing_fields_events,tagger_missing_prefilter_events,tagger_used_prefilter_conditions,tagger_unusable_rules,observed_techniques,aligned_techniques,missing_expected_techniques,unexpected_observed_techniques,failure_keys
SC4,NPMEX,single,single,auth,2946,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,6,0,2946,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,single,single,suricata,116215,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,74257,0,116215,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,single,single,zeek,9368,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,2619,0,9368,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,single,single,auditd,2491,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,2491,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,combo2,combo2,zeek+syslog,66618,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'INSTALL', 'OUTBOUND_CONN']",3,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN']",3,0.75,expected_recall,,0.75,1.0,0.75,1.0,2637,0,66618,2,[],,,,,"['MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,combo2,combo2,syslog+auth,60196,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'INSTALL']",2,"['INSTALL', 'DOWNLOAD']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,24,0,60196,1,[],,,,,"['MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,combo2,combo2,auditd+syslog,59741,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'INSTALL']",2,"['INSTALL', 'DOWNLOAD']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,18,0,59741,1,[],,,,,"['MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,combo2,combo2,zeek+auth,12314,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['INSTALL', 'OUTBOUND_CONN']",2,"['INSTALL', 'OUTBOUND_CONN']",2,0.5,expected_recall,,0.5,1.0,0.5,1.0,2625,0,12314,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,combo2,combo2,auditd+zeek,11859,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,2619,0,11859,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_INSTALL', 'PREFILTER_UNUSABLE']"
SC4,NPMEX,multi,multi,auditd+auth+suricata+syslog+zeek,188270,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'INSTALL', 'OUTBOUND_CONN']",3,"['OUTBOUND_CONN', 'INSTALL', 'DOWNLOAD']",3,0.75,expected_recall,,0.75,1.0,0.75,1.0,84345,0,188270,2,[],"['T1021.001', 'T1021.004', 'T1033', 'T1053.003', 'T1059.004', 'T1070.004', 'T1105', 'T1110', 'T1543.002', 'T1548.003']","['T1033', 'T1070.004', 'T1105']","['T1016', 'T1021', 'T1041', 'T1059.007', 'T1071', 'T1071.001', 'T1074', 'T1074.002', 'T1082', 'T1083', 'T1195.002', 'T1530', 'T1550', 'T1550.003', 'T1552.001', 'T1553', 'T1553.004', 'T1555', 'T1555.003', 'T1562.001', 'T1567.002', 'T1573', 'T1573.002', 'T1588', 'T1592.001', 'T1608']","['T1021.001', 'T1021.004', 'T1053.003', 'T1059.004', 'T1110', 'T1543.002', 'T1548.003']",[]
SC5,3CX,multi,multi,azure_events,7453,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'INSTALL', 'OUTBOUND_CONN']",4,"['INSTALL', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['INSTALL'],1,['INSTALL'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,572,0,7453,1,[],[],[],"['T1012', 'T1027', 'T1036', 'T1036.001', 'T1055', 'T1070', 'T1070.001', 'T1070.004', 'T1071', 'T1071.001', 'T1071.004', 'T1082', 'T1083', 'T1105', 'T1112', 'T1140', 'T1190', 'T1195', 'T1195.002', 'T1497', 'T1497.001', 'T1565', 'T1565.001', 'T1573', 'T1573.002', 'T1574', 'T1574.002', 'T1588', 'T1588.004', 'T1608', 'T1608.003', 'T1614', 'T1614.001', 'T1620', 'T1622']",[],[]
SC6,CloudEX,single,single,syslog,3246,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['AUTH', 'DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",4,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['AUTH'],1,['AUTH'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,95,0,3246,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC6,CloudEX,multi,multi,azure_events+syslog,9774,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['AUTH', 'DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",4,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['AUTH'],1,['AUTH'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,138,0,9774,1,[],"['T1021.001', 'T1021.004', 'T1033', 'T1053.003', 'T1110', 'T1548.003']","['T1033', 'T1110', 'T1548.003']","['T1003', 'T1003.006', 'T1005', 'T1007', 'T1010', 'T1012', 'T1020', 'T1021', 'T1025', 'T1027', 'T1027.003', 'T1029', 'T1030', 'T1036.009', 'T1037', 'T1039', 'T1041', 'T1046', 'T1053', 'T1055', 'T1056', 'T1056.001', 'T1056.002', 'T1057', 'T1059', 'T1059.002', 'T1059.004', 'T1059.006', 'T1069', 'T1069.001', 'T1069.002', 'T1070.002', 'T1070.004', 'T1071.001', 'T1078', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1087.002', 'T1090', 'T1098', 'T1105', 'T1106', 'T1110.001', 'T1110.003', 'T1112', 'T1113', 'T1115', 'T1127', 'T1129', 'T1132', 'T1134', 'T1135', 'T1136', 'T1136.001', 'T1195', 'T1195.002', 'T1203', 'T1204', 'T1204.001', 'T1204.002', 'T1207', 'T1213', 'T1217', 'T1218', 'T1485', 'T1497.003', 'T1518', 'T1528', 'T1539', 'T1543.001', 'T1543.004', 'T1546', 'T1546.014', 'T1547', 'T1547.015', 'T1548.004', 'T1550', 'T1552', 'T1552.001', 'T1552.003', 'T1553', 'T1553.001', 'T1555', 'T1558', 'T1559', 'T1562', 'T1564.002', 'T1564.003', 'T1565', 'T1568.002', 'T1570', 'T1572', 'T1574', 'T1588', 'T1590', 'T1590.005', 'T1608', 'T1620', 'T1647']","['T1021.001', 'T1021.004', 'T1053.003']",[]
SC6,CloudEX,combo2,multi,syslog+azure_events,9774,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['AUTH', 'DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",4,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['AUTH'],1,['AUTH'],1,0.25,expected_recall,,0.25,1.0,0.25,1.0,137,0,9774,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,single,single,suricata,58880,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['EXFIL', 'OUTBOUND_CONN']",2,"['OUTBOUND_CONN', 'EXFIL']",2,0.6667,expected_recall,,0.6667,1.0,0.6667,1.0,39905,0,58880,1,[],,,,,"['MISSING_DOWNLOAD', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,single,single,auditd,14763,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['EXFIL'],1,['EXFIL'],1,0.3333,expected_recall,,0.3333,1.0,0.3333,1.0,1,0,14763,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,single,single,zeek,6462,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.3333,expected_recall,,0.3333,1.0,0.3333,1.0,1951,0,6462,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,single,single,tracee,132136,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['EXFIL'],1,['EXFIL'],1,0.3333,expected_recall,,0.3333,1.0,0.3333,1.0,34,0,132136,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,single,single,syslog,9805,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,9805,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'MISSING_OUTBOUND_CONN', 'NO_STEPS_OBSERVED', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,combo2,combo2,auditd+zeek,21225,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['EXFIL', 'OUTBOUND_CONN']",2,['OUTBOUND_CONN'],1,0.6667,expected_recall,,0.6667,1.0,0.3333,1.0,1952,0,21225,2,[],,,,,"['MISSING_DOWNLOAD', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,combo2,combo2,auditd+syslog,24568,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['EXFIL'],1,['EXFIL'],1,0.3333,expected_recall,,0.3333,1.0,0.3333,1.0,1,0,24568,1,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,combo2,combo2,zeek+syslog,16267,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']",['OUTBOUND_CONN'],1,['OUTBOUND_CONN'],1,0.3333,expected_recall,,0.3333,1.0,0.3333,1.0,1951,0,16267,2,[],,,,,"['MISSING_DOWNLOAD', 'MISSING_EXFIL', 'PREFILTER_UNUSABLE']"
SC7,LayerInj,multi,multi,auditd+suricata+syslog+zeek+tracee,222046,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['DOWNLOAD', 'EXFIL', 'OUTBOUND_CONN']",3,"['DOWNLOAD', 'OUTBOUND_CONN', 'EXFIL']","['EXFIL', 'OUTBOUND_CONN']",2,"['OUTBOUND_CONN', 'EXFIL']",2,0.6667,expected_recall,,0.6667,1.0,0.6667,1.0,52152,0,222046,2,[],"['T1021.001', 'T1021.004', 'T1033', 'T1053.003', 'T1059.004', 'T1059.006', 'T1105', 'T1110', 'T1543.002', 'T1548.003']","['T1033', 'T1059.004', 'T1059.006', 'T1105', 'T1110', 'T1548.003']","['T1003', 'T1003.006', 'T1005', 'T1007', 'T1010', 'T1012', 'T1020', 'T1021', 'T1025', 'T1029', 'T1030', 'T1036', 'T1036.005', 'T1036.009', 'T1037', 'T1039', 'T1041', 'T1046', 'T1053', 'T1055', 'T1056', 'T1056.001', 'T1056.002', 'T1057', 'T1059', 'T1059.002', 'T1069', 'T1069.001', 'T1069.002', 'T1070.004', 'T1078', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1087.002', 'T1090', 'T1098', 'T1106', 'T1110.001', 'T1110.003', 'T1112', 'T1113', 'T1115', 'T1127', 'T1129', 'T1132', 'T1134', 'T1135', 'T1136', 'T1136.001', 'T1195.002', 'T1204.002', 'T1207', 'T1213', 'T1217', 'T1218', 'T1485', 'T1518', 'T1528', 'T1539', 'T1543.001', 'T1543.004', 'T1546', 'T1546.014', 'T1547', 'T1547.015', 'T1548.004', 'T1550', 'T1552', 'T1552.001', 'T1552.003', 'T1553', 'T1553.001', 'T1553.006', 'T1555', 'T1558', 'T1559', 'T1562', 'T1564.002', 'T1564.003', 'T1565', 'T1566', 'T1566.002', 'T1570', 'T1572', 'T1574', 'T1588', 'T1588.001', 'T1590', 'T1590.005', 'T1608', 'T1620', 'T1647']","['T1021.001', 'T1021.004', 'T1053.003', 'T1543.002']",[]
